session_id,site1,time1,site2,time2,site3,time3,site4,time4,site5,time5,site6,time6,site7,time7,site8,time8,site9,time9,site10,time10,target
1,950,12/01/2013 11:02,948,12/01/2013 11:02,21,12/01/2013 11:03,570,12/01/2013 11:07,951,12/01/2013 11:11,947,12/01/2013 11:11,950,12/01/2013 11:11,947,12/01/2013 11:11,953,12/01/2013 11:11,945,12/01/2013 11:11,0
2,23,12/01/2013 14:28,803,12/01/2013 14:28,803,12/01/2013 14:28,33,12/01/2013 14:29,45,12/01/2013 14:29,29,12/01/2013 14:29,707,12/01/2013 14:30,38,12/01/2013 14:30,21,12/01/2013 14:31,666,12/01/2013 14:31,0
3,881,12/01/2013 17:00,881,12/01/2013 17:00,881,12/01/2013 17:01,80,12/01/2013 17:01,80,12/01/2013 17:01,881,12/01/2013 17:01,881,12/01/2013 17:01,881,12/01/2013 17:01,881,12/01/2013 17:01,80,12/01/2013 17:01,0
4,205,12/01/2013 17:10,48,12/01/2013 17:10,167,12/01/2013 17:10,268,12/01/2013 17:10,271,12/01/2013 17:10,273,12/01/2013 17:10,270,12/01/2013 17:10,30,12/01/2013 17:10,50,12/01/2013 17:10,49,12/01/2013 17:10,0
5,49,12/01/2013 18:15,52,12/01/2013 18:15,53,12/01/2013 18:15,55,12/01/2013 18:15,56,12/01/2013 18:15,784,12/01/2013 18:16,784,12/01/2013 18:16,49,12/01/2013 18:16,57,12/01/2013 18:16,1007,12/01/2013 18:17,0
6,21,12/02/2013 8:08,229,12/02/2013 8:13,229,12/02/2013 8:13,229,12/02/2013 8:13,229,12/02/2013 8:13,21,12/02/2013 8:13,229,12/02/2013 8:13,21,12/02/2013 8:13,229,12/02/2013 8:13,229,12/02/2013 8:13,0
7,49,12/02/2013 8:13,53,12/02/2013 8:13,197,12/02/2013 8:13,52,12/02/2013 8:13,196,12/02/2013 8:13,52,12/02/2013 8:13,948,12/02/2013 8:13,55,12/02/2013 8:17,56,12/02/2013 8:17,784,12/02/2013 8:17,0
8,55,12/02/2013 8:32,55,12/02/2013 8:32,55,12/02/2013 8:32,55,12/02/2013 8:32,55,12/02/2013 8:32,747,12/02/2013 8:32,747,12/02/2013 8:32,23,12/02/2013 8:32,350,12/02/2013 8:32,1379,12/02/2013 8:32,0
9,747,12/02/2013 8:53,157,12/02/2013 8:53,29,12/02/2013 8:53,29,12/02/2013 8:53,747,12/02/2013 8:53,23,12/02/2013 8:53,747,12/02/2013 8:53,747,12/02/2013 8:54,23,12/02/2013 8:54,747,12/02/2013 8:54,0
10,747,12/02/2013 8:57,350,12/02/2013 8:57,23,12/02/2013 8:57,23,12/02/2013 8:57,23,12/02/2013 8:57,747,12/02/2013 8:57,1379,12/02/2013 8:57,747,12/02/2013 8:57,350,12/02/2013 8:57,23,12/02/2013 8:57,0
11,30,12/02/2013 9:04,37,12/02/2013 9:04,4,12/02/2013 9:04,9652,12/02/2013 9:04,272,12/02/2013 9:04,9652,12/02/2013 9:04,794,12/02/2013 9:04,6,12/02/2013 9:04,8,12/02/2013 9:04,9653,12/02/2013 9:04,0
12,175,12/02/2013 9:11,176,12/02/2013 9:11,177,12/02/2013 9:11,177,12/02/2013 9:12,176,12/02/2013 9:12,19452,12/02/2013 9:14,2425,12/02/2013 9:14,2426,12/02/2013 9:14,2427,12/02/2013 9:14,2425,12/02/2013 9:14,0
13,167,12/02/2013 9:23,363,12/02/2013 9:23,364,12/02/2013 9:23,362,12/02/2013 9:23,363,12/02/2013 9:23,167,12/02/2013 9:23,360,12/02/2013 9:23,364,12/02/2013 9:23,362,12/02/2013 9:23,167,12/02/2013 9:23,0
14,5406,12/02/2013 9:32,5406,12/02/2013 9:32,5406,12/02/2013 9:32,5406,12/02/2013 9:32,5406,12/02/2013 9:32,5406,12/02/2013 9:32,5406,12/02/2013 9:32,5406,12/02/2013 9:32,5406,12/02/2013 9:32,5406,12/02/2013 9:32,0
